# Automated Results file
# Author: 	 slj11
# DataFile name:	blocked.jobs
# Thu May 02 12:58:09 BST 2013
# Number of Test Runs: 10000

27,27,59,86,35,17
31,35,61,81,46,12
37,37,58,92,41,23
39,39,58,81,42,12
31,31,57,86,36,17
38,38,60,85,47,16
24,28,58,83,40,14
38,38,58,84,42,15
37,37,60,87,43,18
34,38,61,85,38,16
39,43,59,86,40,17
27,27,59,89,46,20
45,45,58,76,44,7
34,34,57,85,38,16
21,21,58,81,43,12
32,32,60,89,46,20
41,41,60,88,45,19
33,33,60,87,37,18
25,25,57,85,39,16
28,28,58,83,36,14
44,44,61,87,47,18
27,27,59,87,41,18
34,34,60,92,43,23
32,32,58,82,42,13
39,39,64,93,43,24
31,31,60,85,41,16
36,40,62,87,39,18
25,25,57,87,37,18
39,39,64,91,42,22
28,28,61,91,48,22
31,31,61,87,48,18
43,43,59,78,42,9
35,35,55,76,36,7
32,32,58,88,42,19
34,38,60,85,38,16
34,34,60,86,40,17
32,32,57,85,40,16
35,35,60,81,44,12
32,36,59,92,42,23
29,29,58,81,39,12
33,37,57,82,42,13
38,38,62,84,44,15
40,40,62,89,43,20
35,35,58,83,33,14
27,27,58,87,41,18
32,36,57,81,38,12
36,36,58,84,38,15
29,33,59,80,40,11
34,34,60,86,42,17
35,39,57,87,39,18
27,27,58,87,37,18
38,38,62,90,53,21
28,28,56,84,40,15
31,31,58,82,39,13
32,32,61,85,46,16
31,31,58,83,39,14
29,29,57,83,40,14
36,36,60,82,51,13
23,27,58,85,37,16
35,35,60,80,39,11
38,38,60,80,45,11
28,28,56,87,39,18
34,34,59,79,40,10
41,41,58,81,41,12
34,34,58,95,42,26
32,36,59,89,40,20
40,40,58,86,39,17
40,40,58,74,45,5
30,30,57,85,37,16
35,35,59,93,40,24
37,37,59,89,46,20
37,37,58,85,37,16
36,40,61,85,42,16
36,36,61,87,44,18
33,33,57,81,40,12
27,31,60,92,44,23
38,38,58,83,33,14
37,37,59,83,43,14
38,38,58,84,44,15
29,29,61,95,45,26
29,33,61,85,50,16
36,40,59,84,48,15
35,35,58,83,40,14
31,31,58,87,44,18
26,26,57,88,38,19
43,43,58,74,41,5
24,24,56,90,36,21
40,40,58,82,30,13
34,34,60,87,36,18
38,38,59,80,38,11
27,27,57,79,38,10
34,34,58,86,42,17
36,36,61,90,44,21
34,34,59,84,44,15
37,37,59,85,38,16
32,32,57,95,33,26
41,41,60,88,40,19
37,37,59,80,46,11
29,29,60,86,44,17
39,43,62,87,49,18
